"team_number","vanguard_1","vanguard_2","duelist_3","duelist_4","strategist_5","strategist_6","enhancement_details"
"1","Angela","Thor","Iron Man","Star-Lord","Adam Warlock","Ultron","Adam Warlock <- Ultron; Angela <- Star-Lord; Iron Man <- Thor; Star-Lord <- Adam Warlock; Thor <- Angela; Ultron <- Iron Man"
"2","Angela","Thor","Star-Lord","Storm","Adam Warlock","Luna Snow","Adam Warlock <- Storm; Angela <- Star-Lord; Luna Snow <- Adam Warlock; Star-Lord <- Adam Warlock; Storm <- Thor; Thor <- Angela"
"3","Angela","Thor","Star-Lord","Storm","Adam Warlock","Mantis","Adam Warlock <- Storm; Angela <- Star-Lord; Mantis <- Adam Warlock, Star-Lord; Star-Lord <- Adam Warlock; Storm <- Thor; Thor <- Angela"
"4","Peni Parker","The Hood","Black Panther","Magik","Adam Warlock","Ultron","Adam Warlock <- Ultron; Black Panther <- Magik; Magik <- The Hood; Peni Parker <- Black Panther; The Hood <- Magik; Ultron <- Peni Parker"
"5","Angela","Venom","Hela","Phoenix","Deadpool","Loki","Angela <- Loki; Deadpool <- Hela; Hela <- Venom; Loki <- Hela; Phoenix <- Hela; Venom <- Phoenix"
"6","Angela","Groot","Mister Fantastic","Star-Lord","Mantis","Rocket Raccoon","Angela <- Star-Lord; Groot <- Mantis; Mantis <- Star-Lord; Mister Fantastic <- Rocket Raccoon; Rocket Raccoon <- Groot; Star-Lord <- Groot"
"7","Angela","Groot","Star-Lord","The Punisher","Mantis","Rocket Raccoon","Angela <- Star-Lord; Groot <- Mantis; Mantis <- Star-Lord; Rocket Raccoon <- Groot; Star-Lord <- Groot; The Punisher <- Rocket Raccoon"
"8","Angela","Venom","Hela","Phoenix","Jeff the Land Shark","Loki","Angela <- Loki; Hela <- Venom; Jeff the Land Shark <- Venom; Loki <- Hela; Phoenix <- Hela; Venom <- Phoenix"
"9","Peni Parker","The Hood","Black Panther","Magik","Cloak & Dagger","Jubilee","Black Panther <- Magik; Cloak & Dagger <- The Hood; Jubilee <- The Hood; Magik <- The Hood; Peni Parker <- Black Panther; The Hood <- Magik, Jubilee"
"10","Peni Parker","The Hood","Black Panther","Magik","Cloak & Dagger","Ultron","Black Panther <- Magik; Cloak & Dagger <- The Hood; Magik <- The Hood; Peni Parker <- Black Panther; The Hood <- Magik; Ultron <- Peni Parker"
"11","Peni Parker","The Hood","Black Panther","Magik","Gambit","Jubilee","Black Panther <- Magik; Gambit <- Jubilee; Jubilee <- The Hood; Magik <- The Hood; Peni Parker <- Black Panther; The Hood <- Magik, Jubilee"
"12","Rogue","The Hood","Black Panther","Magik","Gambit","Jubilee","Black Panther <- Magik; Gambit <- Jubilee; Jubilee <- The Hood; Magik <- The Hood; Rogue <- Gambit; The Hood <- Magik, Jubilee"
